Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
A Man of Action,2022,TV-MA,30 Nov 2022,111 min,"Biography, Crime, Drama",Javier Ruiz Caldera,Patxi Amezcua,"Juan José Ballesta, Luis Callejo, Liah O'Prey","In this drama inspired by the life of Lucio Urtubia, an anarchist targets one of the world's biggest banks with an ingenious counterfeiting operations.","Spanish, English",Spain,N/A,https://m.media-amazon.com/images/M/MV5BMzg0ZDdiOTEtODM4Ni00MGIwLThjNTMtM2RmNGYyMDgwYmMxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"3,078",tt12703292,movie,N/A,N/A,N/A,N/A,True,
Missing in Action,1984,R,16 Nov 1984,101 min,"Action, Adventure, Drama",Joseph Zito,"Arthur Silver, Larry Levinson, Steve Bing","Chuck Norris, M. Emmet Walsh, David Tress",Colonel Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.,"English, Vietnamese",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDczNDljZTUtNmZmZC00YzFkLWExYzEtYzQxNmNkNmFjMDQyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.4,"16,100",tt0087727,movie,28 Apr 2017,"$22,812,411",N/A,N/A,True,
Action Replayy,2010,TV-PG,05 Nov 2010,129 min,"Comedy, Romance, Sci-Fi",Vipul Amrutlal Shah,"Irshad Kamil, Aatish Kapadia, Suresh Nair","Akshay Kumar, Aishwarya Rai Bachchan, Aditya Roy Kapoor",A young man tries to revive his parents' wilting marriage by traveling to the 1970s when their romance was budding and make it bloom: something more complex than he expects.,Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BMTMyMDc1MDIwMl5BMl5BanBnXkFtZTcwNDUyMDgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.3,"6,782",tt1396208,movie,11 Mar 2017,N/A,N/A,N/A,True,
Adventure Time,2010–2018,TV-PG,05 Apr 2010,11 min,"Animation, Action, Adventure",N/A,Pendleton Ward,"John DiMaggio, Jeremy Shada, Tom Kenny","A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.","English, Korean",United States,Won 8 Primetime Emmys. 26 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BMGFkNGY4NGMtZjY0NC00YTI0LThiZjMtMjBmZGMzOGU3YTdmXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"108,524",tt1305826,series,,,,,True,10
Adventure Time: Fionna & Cake,2023,TV-14,31 Aug 2023,N/A,"Animation, Action, Adventure",N/A,"Adam Muto, Pendleton Ward","Madeleine Martin, Roz Ryan, Tom Kenny","Fionna, her best friend Cake and the former Ice King, Simon Petrikov, embark on an adventure through the multiverse, dodging new threats and making self-discoveries along the way.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDhjMDk2OTEtM2NhOC00NDNjLWI1ZjgtMWZiMDFkOTFjMDhmXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,"5,259",tt15248880,series,,,,,True,1
JoJo's Bizarre Adventure,2012–,TV-14,04 Oct 2012,30 min,"Animation, Action, Adventure",N/A,N/A,"David Vincent, Matthew Mercer, Daisuke Ono","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.",Japanese,Japan,3 wins & 23 nominations,https://m.media-amazon.com/images/M/MV5BZDc3NGQ3ZWQtYjNkOC00MjhiLTg2N2YtNmZlOGNiZTFkOWNhXkEyXkFqcGdeQXVyNjc2NjA5MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"32,282",tt2359704,series,,,,,True,5
The Poseidon Adventure,1972,PG,13 Dec 1972,117 min,"Action, Adventure, Drama",Ronald Neame,"Paul Gallico, Stirling Silliphant, Wendell Mayes","Gene Hackman, Ernest Borgnine, Shelley Winters",A group of passengers must embark on a harrowing struggle for survival after a rogue wave capsizes their cruise ship at sea.,"English, Hebrew",United States,Won 1 Oscar. 5 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BYmM0ZDRkZGEtNTFmNS00MDg1LThkNWItZmU1NmM1OGM0NTU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.1,"48,175",tt0069113,movie,03 Apr 2016,"$84,563,118",N/A,N/A,True,
Bill & Ted's Excellent Adventure,1989,PG,17 Feb 1989,90 min,"Adventure, Comedy, Music",Stephen Herek,"Chris Matheson, Ed Solomon","Keanu Reeves, Alex Winter, George Carlin","Two rock-'n-rolling teens, on the verge of failing their class, set out on a quest to make the ultimate school history report after being presented with a time machine.","English, French, German, Greek, Ancient (to 1453)","United States, Canada, Italy",3 nominations,https://m.media-amazon.com/images/M/MV5BMTk3Mjk5MzI3OF5BMl5BanBnXkFtZTcwMTY4MzcyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.9,"139,725",tt0096928,movie,28 Sep 2016,"$40,485,039",N/A,N/A,True,
Zathura: A Space Adventure,2005,PG,11 Nov 2005,101 min,"Action, Adventure, Comedy",Jon Favreau,"Chris Van Allsburg, David Koepp, John Kamps","Josh Hutcherson, Jonah Bobo, Dax Shepard",Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.,English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMDc1NzM1OTgtOGYxMS00ZWE1LWEzZWMtNWEyOTI2NDJjOTU2XkEyXkFqcGdeQXVyNjQzNzA2NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.2,"112,926",tt0406375,movie,16 Apr 2012,"$29,258,869",N/A,N/A,True,
Adventure Time: Distant Lands,2020–2021,TV-PG,25 Jun 2020,1 min,"Animation, Action, Adventure",N/A,"Adam Muto, Pendleton Ward","Tom Kenny, John DiMaggio, Jeremy Shada",Adventure Time has a sequel with new adventures around other worlds.,English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BNGQ5NzJkOGEtZTc4MS00ODcwLWI3YjMtNWFmODJkYjQzYzliXkEyXkFqcGdeQXVyMjEzNTg5Mzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"7,163",tt11165358,series,,,,,True,1
Pee-wee's Big Adventure,1985,PG,09 Aug 1985,91 min,"Adventure, Comedy, Family",Tim Burton,"Phil Hartman, Paul Reubens, Michael Varhol","Paul Reubens, Elizabeth Daily, Mark Holton","When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.","English, French",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYTQ2MmVlNzctZGE5Ni00MGMwLWJmMWYtODAzZmRlZTljMGEzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.0,"58,299",tt0089791,movie,19 Apr 2016,"$41,047,344",N/A,N/A,True,
Christmas Vacation 2: Cousin Eddie's Island Adventure,2003,TV-14,20 Dec 2003,83 min,Comedy,Nick Marck,Matty Simmons,"Kate Simmons, Jake Thomas, Randy Quaid",A holiday to the South Pacific goes awry when Cousin Eddie's family and a tour guide are shipwrecked on an island.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZWVmZDlmMWUtNDczNy00ZWY3LWE4YWQtZTViYmMzYWNlYzllXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.7/10'}]",N/A,2.7,"3,719",tt0367623,movie,01 Nov 2010,N/A,N/A,N/A,True,
Olaf's Frozen Adventure,2017,G,27 Oct 2017,22 min,"Animation, Short, Adventure","Kevin Deters, Stevie Wermers","Jac Schaeffer, Brian Kesinger, Hans Christian Andersen","Josh Gad, Idina Menzel, Kristen Bell","A Christmas-themed special featuring characters from Walt Disney Pictures' 53rd full-length animated motion picture, ""Frozen (2013)"".",English,"Japan, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BOWQ1NjNiZTEtYzc3Zi00Nzk4LTg5MTYtNzc5NmJjYTg1MGQ4XkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,5.7,"13,706",tt5452780,movie,19 Dec 2017,N/A,N/A,N/A,True,
Flipper's New Adventure,1964,G,19 Nov 1964,94 min,"Family, Adventure, Drama",Leon Benson,"Ivan Tors, Ricou Browning, Jack Cowden","Luke Halpin, Pamela Franklin, Helen Cherry",Boy Sandy and Dolphin Flipper are in the Bahamas where they pester a bunch of outlaws holding an English family captive.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzFkYTk1ZjAtMjliNi00MGRlLWFmNjAtM2E2MTk5NzMwM2E3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,611,tt0058105,movie,01 Jan 2009,N/A,N/A,N/A,True,
Rapunzel's Tangled Adventure,2017–2020,TV-Y7,24 Mar 2017,21 min,"Animation, Action, Adventure",N/A,"Shane Prigmore, Chris Sonnenburg","Mandy Moore, Zachary Levi, Eden Espinosa","Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.","English, Czech, German",United States,8 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BOTdjZTBhNjgtNTJiYS00NTIzLWFmMDAtYmIzNzE4NzdlNmViXkEyXkFqcGdeQXVyMTgxMjYxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"3,296",tt4902964,series,,,,,True,3
The Ewok Adventure,1984,TV-G,25 Nov 1984,96 min,"Adventure, Family, Fantasy",John Korty,"George Lucas, Bob Carrau","Eric Walker, Warwick Davis, Fionnula Flanagan","Wicket the Ewok and his friends agree to help two shipwrecked human children, Mace and Cindel, on a quest to find their parents.",English,United States,Won 1 Primetime Emmy. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZTQ3ZDQ1OTYtZDJiNi00NDM3LTllN2UtMTM2ODZkMTk1ZWQ0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}]",N/A,5.3,"12,316",tt0087225,movie,08 Mar 2019,N/A,N/A,N/A,True,
The Pirates! Band of Misfits,2012,PG,27 Apr 2012,88 min,"Animation, Adventure, Comedy","Peter Lord, Jeff Newitt",Gideon Defoe,"Hugh Grant, Salma Hayek, Jeremy Piven",Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.,English,"United Kingdom, United States",Nominated for 1 Oscar. 20 nominations total,https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.7,"50,796",tt1430626,movie,28 Aug 2012,"$31,051,126",N/A,N/A,True,
An Awkward Sexual Adventure,2012,Not Rated,21 Feb 2013,98 min,"Comedy, Romance",Sean Garrity,"Jonas Chernick, Marguerite Pigott","Jonas Chernick, Emily Hampshire, Sarah Manninen","To win back his ex-girlfriend, a conservative accountant enlists the help of an exotic dancer to guide him on a quest for sexual experience, leading him into a world of strip clubs, sensual massage parlors, cross-dressing and S &amp; M.","English, Hebrew",Canada,4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMjI5MTYzOTMyNF5BMl5BanBnXkFtZTcwNTgwNDYzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.1,"10,227",tt2112210,movie,27 Jan 2014,N/A,N/A,N/A,True,
The King of Comedy,1982,PG,18 Dec 1982,109 min,"Comedy, Crime, Drama",Martin Scorsese,Paul D. Zimmerman,"Robert De Niro, Jerry Lewis, Diahnne Abbott","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",English,United States,Won 1 BAFTA Award3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1YjBlNTItYjM0YS00ZTBjLWI0Y2EtNDg2NGZlOTZlMDk2XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.8,"115,116",tt0085794,movie,08 Dec 2015,"$2,536,242",N/A,N/A,True,
Comedy Bang! Bang!,2012–2016,TV-14,08 Jun 2012,30 min,"Comedy, Talk-Show",N/A,Scott Aukerman,"Scott Aukerman, Reggie Watts, 'Weird Al' Yankovic","A talk-show parody that features celebrity guests, comedy sketches, and animation. Based on the podcast of the same name.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTkwODZmZWItN2NmNC00Yzc5LWIyZTQtNDdiNjA3NThkYzFjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"4,522",tt2176287,series,,,,,True,5
Dark Side of Comedy,2022–,TV-14,16 Aug 2022,N/A,"Documentary, History",N/A,N/A,"Kliph Nesteroff, Dave Foley, Lisa Lampanelli","Featuring different comics and their personal journeys, explores the internal battles, unexpected fame and societal pressures in the comedy world.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODE1ODMwYjEtYjVmNy00Y2JkLWI3MDgtOGU1YWRmNjFmN2RiXkEyXkFqcGdeQXVyMzYyMDMwNjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,301,tt17516478,series,,,,,True,2
The Comedy of Terrors,1963,Not Rated,15 Oct 1964,84 min,"Comedy, Horror",Jacques Tourneur,"Richard Matheson, Elsie Lee","Vincent Price, Peter Lorre, Boris Karloff",Dishonest undertaker Waldo Trumbull and his sidekick Felix Gillie are creating their own customers when they cannot find willing ones.,"English, French, Italian",United States,N/A,https://m.media-amazon.com/images/M/MV5BYWRmNGQxM2MtN2I5OS00NTc1LTlmNGEtMGYwYTIyMjE3NjI5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.6,"6,669",tt0056943,movie,19 Jan 2017,N/A,N/A,N/A,True,
Sex Is Comedy,2002,R,05 Jun 2002,92 min,"Comedy, Drama, Romance",Catherine Breillat,Catherine Breillat,"Anne Parillaud, Grégoire Colin, Roxane Mesquida","A director struggles to film a difficult, intimate sex scene between two actors who happen to hate each other.","French, Portuguese","France, Portugal",1 nomination,https://m.media-amazon.com/images/M/MV5BNzFjYWIzNTEtOWE3Ni00NzVjLWI5YzktNThlNWM0OWRkMGRiXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,5.6,"2,979",tt0304678,movie,19 Jan 2017,"$40,470",N/A,N/A,True,
Comedy Central Presents,1998–2011,TV-14,01 Dec 1998,30 min,"Documentary, Comedy",N/A,N/A,"Mike Birbiglia, Todd Barry, Lewis Black",A television series featuring various stand-up comics.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE4ODY0MDc0OF5BMl5BanBnXkFtZTcwODA0OTE5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"1,195",tt0497480,series,,,,,True,15
My Teen Romantic Comedy SNAFU,2013–2023,TV-14,05 Apr 2013,24 min,"Animation, Comedy, Drama",N/A,N/A,"Cat Thomas, Melissa Molano, Takuya Eguchi","About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service Club"" by his teacher.",Japanese,Japan,13 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BYzRkMWFkNGMtMzQ0Zi00MWQ2LTk1MjgtODJkZjY3NTQyYTQzXkEyXkFqcGdeQXVyNTIxNDgzOTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"8,349",tt2703720,series,,,,,True,3
The Comedy,2012,Not Rated,21 Jan 2012,95 min,"Comedy, Drama",Rick Alverson,"Rick Alverson, Robert Donne, Colm O'Leary","Tim Heidecker, Eric Wareheim, James Murphy","Indifferent to the notion of inheriting his father's estate, a restless, aging New Yorker passes time with his friends in games of mock sincerity and irreverence.",English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjA0OTA3ODU4M15BMl5BanBnXkFtZTcwNDY3NTM1OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.3,"5,332",tt2112293,movie,23 Sep 2013,"$41,113",N/A,N/A,True,
Comedy Royale,2023–,N/A,28 Nov 2023,N/A,"Comedy, Game-Show, Reality-TV",N/A,N/A,"Kyung-kyu Lee, Yong-Jin Lee, Se-yoon Moon","Twenty of Korea's hottest comedians come together to fiercely compete for a chance to host a Netflix show delivering nonstop, zany laughter.",Korean,South Korea,N/A,N/A,[],N/A,N/A,N/A,tt29686471,series,,,,,True,N/A
InAPPropriate Comedy,2013,R,17 Jul 2014,83 min,Comedy,Vince Offer,"Ken Pringle, Ari Shaffir, Vince Offer","Adrien Brody, Lindsay Lohan, Michelle Rodriguez","In this comedy film, a computer tablet full of the world's most hilariously offensive apps breaks through the borders of political correctness, stirring up cultural anarchy.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTQ3NzAyMDUyOF5BMl5BanBnXkFtZTcwMDMzMDM5OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '1/100'}]",1,2.7,"4,719",tt1754811,movie,10 Aug 2016,"$228,004",N/A,N/A,True,
